DATE;TOPIC;TITLE;LINK;CONTENT
Jan 27, 2023;geopolitics;A Watershed Moment For Turkey;https://oilprice.com/Geopolitics/Europe/A-Watershed-Moment-For-Turkey.html;With Turkish presidential and parliamentary elections now set for May 14tha month earlier than originally plannedwho will effectively challenge Erdogan We will find out in February when the sixparty opposition alliance announces its candidate But the alliance has already said it would unveil a proposal to completely reverse the executive presidential system Erdogan put in place to give the president more power They will seek to transition back to a parliamentary system The opposition alliance led by the Republican Peoples Party CHP will be challenging the AKP Erdogans party which is allied with the farright MHP Nationalist Movement Party These elections are widely viewed as the last chance to keep Turkey from descending into an authoritarian regime under Erdogan If he wins these elections he has a strong chance of solidifying that much power This is not an authoritarian regimeyet Its tempting to say it is because Erdogan has been arresting critics and sidelining opposition at will as we get closer to elections But elections are still competitive even if they will not be completely fair Erdogans victory is not assured The economy is a key issue which is also why Erdogan is rolling out a number of measures ahead of May 14 that are decidedly populist But the Kurdish question is also at play here The Kurdish vote could be a big boost for the opposition 
Jan 23, 2023;geopolitics;Zelensky Blockades Still Hindering Grain Exports From Black Sea;https://oilprice.com/Geopolitics/Europe/Zelensky-Blockades-Still-Hindering-Grain-Exports-From-Black-Sea.html;Ukrainian President Volodymyr Zelenskiy has called for the removal of obstructions that he said continue to disrupt food exports from his countrys Black Sea ports Speaking on January 21 to an international conference of agriculture ministers in Berlin Zelenskiy also urged participants to support the Black Sea Grain Initiative  the program that for nearly six months has enabled exports of grain and other foodstuffs through Ukraines major ports on the sea The world needs more determination and more cooperation to stop the aggressions that are disrupting the food market Zelenskiy told the conference in a video message Stop any nation that blockades the sea and destroys food supply chains Prosecute any tyrant who tries to make hunger a tool of his policy Before the Black Sea Grain Initiative was agreed in late July Ukraine  a critical supplier of grains oilseeds and vegetable oils to global markets  and other countries accused Russia of using hunger as a weapon by blockading Ukraines Black Sea ports Turkey Ukraine Russia and the United Nations reached the agreement which also paved the way for Russian food and fertilizer to reach global markets The shipments are monitored by a joint coordination center in Istanbul that includes representatives of Ukraine Russia and Turkey Zelenskiy said there currently are more than 100 ships lined up near the Bosphorus waiting to be inspected He claimed that ships are being detained for weeks while Russian representatives block the inspections This could affect food prices in Europe and mean a growing risk of social instability for Asia he warned For countries in Africa such as Ethiopia or Sudan it could mean empty dining tables for thousands of families Zelenskiy added Russia on January 21 denied blockading Ukrainian grain ships and blamed Kyiv for creating an artificial traffic jam It said there currently are 64 ships at anchor off Ukrainian ports and in inspection zones The order of their inspection is determined by the Ukrainian side Russian representatives have no influence on this at all the Russian Foreign Ministry said in a statement quoted by the dpa news agency 
Jan 19, 2023;geopolitics;South Korea Gains Market Share As Arms Exporter;https://oilprice.com/Geopolitics/Europe/South-Korea-Gains-Market-Share-As-Arms-Exporter.html;Russias largescale war against Ukraine has become a gamechanger for the architecture of international securityand not only from a regional perspective Most recently it provided a window of opportunity for South Korean security and energy companies to deepen engagement with the countries of Central and Eastern Europe CEE Over the past few years South Korea has witnessed rapid and spectacular growth in its arms exports The country which for 20172021 was the eighthlargest arms exporter accounting for 2.8 percent of the global share increased the value of its exports by an enormous 177 percent as compared to 20122016 Sipriorg March 2022 What is more as reported by the Korea Eximbank this trend continued throughout 2022 and will most likely increase moving forward Nikkei Asia September 29 2022 Yet still for that period only onefourth of South Koreas arms exports reached Europe with the United Kingdom alone accounting for more than half of those imports Armstradesipriorg accessed January 15 This however may very well change as the war in Ukraine has pushed North Atlantic Treaty Organization NATO members to significantly and rapidly develop their military potential Already in June 2022 this shift began to materialize when Polish Defense Minister Mariusz Baszczak signed agreements for the purchase of 1000 K2 main battle tanks 672 K9 selfpropelled howitzers and 48 FA50 light combat aircraft from South Korea The total net value of the contracts signed by Korean companies Hyundai Rotem Hanwha Defense and Korea Aerospace Industries amounts to $877 billion This bilateral cooperation intensified even more in October 2022 when Poland decided to purchase 218 K239 Chunmoo rocket artillery systems with logistics packages and ammunition supply worth $355 billion All four deals represent the largest arms contracts in the history of the Korean military industry Polskieradiopl August 27 2022 Related EIA Soaring Production Will Keep Natural Gas Prices In Check The scale of arms purchases from South Korea is also unprecedented from the Polish perspective Their implementationcombined with other deals from American and domestic contractorswould make Poland one of the largest nonnuclear military powers in Europe And this is strategically critical given the ongoing Russian aggression against Ukraine and the necessity to deter Moscow on NATOs eastern flank What is more if Warsaw is to continue further arms deliveries to Kyiv replacements for the donated armaments are essential Unquestionably Ukraine needs such assistance as it is unlikely that the war will end soon And Poland should have the ability to sustain this aid as the Technical Modernization Plan announced in 2019 assumes that the Polish military plans to replace the vast number of postSoviet armaments still in its arsenal including T72 tanks and their Polishdeveloped PT91 tanks Polskazbrojnapl October 10 2019 Around 300 of these tanks are left after Poland donated more than 200 to Ukraine This shift is even more likely as it is counterproductive to keep four active types of tanks in the Polish arsenal What could come next in this context is the replacement of the postSoviet BMP1 infantry fighting vehicle IFV with the Koreanmanufactured AS21 Redback This IFV was already tested by the Polish Armed Forces in late 2022 Pappl Nov 26 2022 In Poland the South Korean offer was seen favorable for several reasons To begin with the Korean industry offers a rapid pace of manufacturing and deliveries The first batch of 10 K2 tanks and 24 K9 selfpropelled howitzers were already delivered to Poland in December 2022 Another gapfilling delivery of 180 K2 tanks will be deployed by 2025 and an additional 24 K9 howitzers by the end of 2023 Dziennikzbrojnypl July 24 2022 Warsaw expects the first 12 FA50s to be delivered by mid2023 Yonhap News Agency July 28 2022 In truth the speed of delivery was one of the key arguments for the K239 Chunmoo deal as well At first Poland wanted to purchase 500 High Mobility Artillery Rocket Systems HIMARS but when it became obvious that such a giant supply would be impossible in such a tight timeframe Warsaw decided to proceed with the deal for the Korean alternative The first batch of Chunmoo systems is expected to reach Poland sometime in 2023 Furthermore such largescale contracts include beneficial offset agreements Delivery for the rest of the tanks are planned to start in 2026 and will include modernized and partly Polonized equipment in its K2PL version The K2PL will be largely manufactured in newly established industrial plants in Poland This will trigger the transfer of knowhow and technologies from South Korea which would improve the production and service capacities of the technically backward and longneglected heavy military industry in Poland Defence24pl September 23 December 9 2022 That in turn would create logistical facilities that are not only essential for maintenance but could also provide an opportunity to become South Koreas production hub for further arms deliveries to Europe Africa and the Middle East A great example of this is Hanwha Defenses aims to combine its potential with the Polish Armaments Group Polska Grupa Zbrojeniowa in the production of the K9 howitzer To this end the new K9PL version will be produced in Poland starting in 2026 These two companies have already enjoyed some past cooperation as Hanwha Defense has supplied the K9 Thunder chassis for the AHS Krab selfpropelled howitzer designed in Poland The Krabs generally successful production however cannot meet the urgent requirements of the Polish Armed Forces due to the Polish Armaments Groups low production capacity which is only now being boosted Nevertheless the Polish Ministry of Defense continues to expand the purchase of homegrown howitzers Defence24pl September 5 2022 In this context it is interesting that the K9 and Krab systems may be merged into one project starting with development work in 20252026 Dziennikzbrojnypl July 24 2022 Additionally in striking these deals with Poland South Korea had a doctrinal predominance that resulted from the Law and Justiceled governments decision to resign from any major military purchases with its European partners This policy has been only recently reversed as Poland acquired two observation satellites and a receiving station from French Airbus Notes From Poland December 29 2022 One should not exclude however that such a deal may have been a oneoff A few factors undergird such reasoning The deal was politically motivated and most likely resulted from Warsaws distrust of other Western European states This distrust was caused by Western Europes decadeslong ambiguous policy toward Russia which has only started to dissipate following Russias reinvasion of Ukraine Furthermore given the Polish policy of putting all its eggs in the American basket South Korea is a political beneficiary of its close ties with the United States Finally these arms purchases were in fact a package deal On October 31 2022 the Polish Energy Group Polska Grupa Energetyczna signed a deal on developing a nuclear plant with South Korean stateowned Korea Hydro amp Nuclear Power KHNP What is more KHNP vice director added that the offer included additional investments in the semiconductor battery and hydrogen industries Energetyka24pl July 22 2022 Additionally the Korean offer was much cheaper that its for example German equivalent Nikkei Asia September 9 2022 As Russias war against Ukraine moves into a more protracted phase the KoreanPolish deal represents only the tip of the iceberg for the overall impact South Koreas arms exports could have for defense and security in Central and Eastern Europe 
Dec 03, 2022;geopolitics;Putin Tells Scholz More Ukraine Energy Strikes Inevitable;https://oilprice.com/Geopolitics/Europe/Putin-Tells-Scholz-More-Ukraine-Energy-Strikes-Inevitable.html;Ukraine is bracing for further steppedup Russian airstrikes targeting its energy infrastructure with President Vladimir Putin on Friday confirming the next wave is imminent telling his German counterpart Olaf Scholz that new attacks are inevitabledue to the Westsdestructive policies It was noted that the Russian Armed Forces had long refrained from precision missile strikes against certain targets on the territory of Ukraine a Kremlinreadoutof the telephone call begins But now such measures have become a forced and inevitable response to Kyivs provocative attacks on Russias civilian infrastructure The statement emphasizes NATOs weapons pipeline into KievAttention was drawn to the destructive line of Western states including Germany that are pumping the Kyiv regime with weapons and are training the Ukrainian military Putin remindedScholz of the Wests deeppolitical and financial support which has made the potential for any meaningful ceasefire negotiations impossible from Moscows perspective He said constant and largescale military support from alliesleads to the fact that Kyiv completely rejects the idea of any negotiations Meanwhile there appears to be external verification that the next significant aerial attack on Ukraine is coming soon withSky News Australiaciting military analysts who say new satellite images show Russia is planning an imminent large scale missile strike on Ukraine According to details in thereport Satellite images released by USbased Maxar Technologies showabuildup of two dozen Tu95 and Tu160 longrange bombers at Engels2 air base in Saratov Oblast 700km from the RussiaUkrainian border Pictured beside the aircraft are ammunition boxes which experts say are likely to contain Kh55 and Kh101 cruise missiles with the significant increase in activity suggesting a looming attack Russia is preparing for a new massive strike the Engels2 airfield is on high alert Two dozen Tu95 and Tu160 longrange bombers were spotted Fuel tanks ammo crates vehicles and repair materials can also be spotted pictwittercomnbTWazLsM9 AdditionallyDer Spiegelquotesmilitary analyst Arda Mevlutoluas follows The unusually high number of bombers on the tarmac is an indication of an increase in operations if not an imminent largescale attack Despite Ukrainian utility and emergency crews continuing to scramble it remains that an estimated 40% of the entire national energy infrastructure remains degraded or destroyedThe New York Timesreported this week Ukrainian officials said that Russian attacks haddisabled the power grid in the southern city of Kherson and six million people across the country were still without powerafter previous assaults Temperatures have also remained below freezing and are expected to dip further into the frigid winter months Russia has defended its attacks on the energy grid as legitimate while US Secretary of State Antony Blinken during a meeting of NATO ministers in Bucharest Romania condemned the barbaric Russian actions 
Oct 24, 2022;geopolitics;How Real Is The Risk Of A Strike On Norways Oil  Gas Installations;https://oilprice.com/Geopolitics/Europe/How-Real-Is-The-Risk-Of-A-Strike-On-Norways-Oil-Gas-Installations.html;Norways Prime Minister Jonas Gahr Stre has invited the navies of NATO allies Britain France and Germany to help address more drone sightings over key oil and gas infrastructure as the North Sea begins to emerge as another stage for Russias war on Ukraine Last week Norways domestic security agency opened investigations into new drone sightings near key infrastructure sites just hours after Bergen Airport which is near Norways main naval base briefly closed due to drone sightings Norwegian police have been working closely with military investigators who are currently analyzing marine traffic Some platform operators have reported seeing Russianflagged research vessels in close vicinity but so far investigators have not been able to establish a discernible pattern There can also be observations that could be other phenomena for instance weather We are sure that there is at least one AP cited Bergen police spokesman rjan Djuvik as saying According to deputy chief of the Norwegian Police Security Service Hedvig Moe numerous drone sightings have been reported in recent months near offshore oil and gas platforms and other Norwegian infrastructure We believe the drone flights are carried out in a way that makes it difficult to find out who is really behind it Moe has stated although Norwegian authorities suspect Russian involvement in operating unmanned aerial vehicles that can be used for espionage or simply to create fearRussia simply has more to gain and less to lose by conducting intelligence activities in Norway now compared to the situation before the war It is simply because Russia is in a pressed situation as a result of the war in Ukraine and is isolated by sanctions We are in a tense securitypolitical situation and at the same time a complex and unclear threat picture that can change in a relatively short time Moe said Seven Russian citizens have been detained over the past few weeks for flying drones or taking photographs of sensitive sites in Norway Notably on Wednesday a 47yearold man with dual Russian and British citizenship was jailed for two weeks on suspicion of flying drones on Norways Arctic archipelago of Svalbard The man has been accused of breaching sanctions which came into force after Russia went to war against Ukraine Aircraft operated by Russian companies or citizens are prohibited to land on take off from or fly over Norwegian territory under Norwegian law which often is coordinated with the European Union Related Macron Lashes Out At United States Over Double Standard Energy Policies Airport operator Avinor has revealed that 50 possible drone observations have been reported at Norways civilian airports so far this year nearly triple the 17 sightings recorded in 2021 The biggest concern is that Russian spies are using these drones as part of a hybrid war strategy to both intimidate and gather information on vital infrastructure which Russia could later use for sabotage in a potential strike against the West I do not believe we are heading for a conventional war with Russia but a hybrid war I think we are already in it Stle Ulriksen a researcher at the Royal Norwegian Naval Academy has said European Gas Hub Norway has long been a leading exporter of energy to Europe and is rapidly replacing Russia as Europes main source of natural gas and crude Norwegian natural gas exports hit a record high 10.2 billion cubic meters worth 128.4 billion crowns $1326 billion in July as prices and demand in Europe surged amid a global energy crisis All in all Norway is set to deliver a new annual record of more than 117 bcm of gas through its pipelines in 2022 Meanwhile the countrys full year production of oil liquids  crude oil condensate and natural gas liquids NGL is expected to hit 114 mcm of oil equivalent Reuters reports Since the start of the war in Ukraine European Union countries have scrambled to replace their Russian gas imports with shipments from Norway Indeed The Nordstream I and II pipeline debacle in the Baltic Sea last month happened a day before Norway opened a new Baltic pipeline to Poland Gas prices in Europe have lately plunged to their lowest level since June thanks to Europes gas storage running about nine weeks ahead of last year an impressive feat even after flows from Russia have been severely curtailed Currently 93.4% of Europes gas storage has been filled Indeed analysts at Standard Chartered Plc are saying that President Vladimir Putins gas weapon will be effectively blunted by the inventory build with Europe set to go through winter comfortably without Russian gas That said Europe will have to pay a heavy price the cost of replenishing natural gas stocks is estimated at over 50 billion euros $51 billion 10 times more than the historical average for filling up tanks ahead of winter And in the meantime the North Sea is the perfect venue for Russia to launch a hybrid warand an unofficial one that stokes fears and raises tensions In a war that has employed energy as a weapon taking Norwegianor the entirety of North Sea oil and gasoffline would be the makings of World War III That is exactly why it would seem that acts of sabotage and fearinducing drone sightings are meant to be shrouded in mystery With no official declaration of war and with Europe hesitant to investigate jointly and present evidence against Russia WWIII is avoided while the threat remains 
Sep 27, 2022;geopolitics;European Energy Security Faces New Risks With Nord Stream Explosions;https://oilprice.com/Geopolitics/Europe/European-Energy-Security-Faces-New-Risks-With-Nord-Stream-Explosions.html;The temporary optimism among European politicians and governments about a less volatile natural gas market during the winter of 20222023 has come to an end Just as market fundamentals seemed to be strengthening as a result of rising storage volumes and lower demand there are a number of new risks First of all the Dutch government announced this week that Europes largest onshore gas field Groningen will be put on the back burner with gas production of less than 2 BCM as predictions showed no extra volumes are needed anymore The reality however might be more difficult to predict With a longer duration of the Ukraine war possibly even with a nuclear scenario at play and EU sanctions on Russian oil on the horizon the market is potentially heading for a dark scenario In all existing scenarios even those of the Dutch government Russian natural gas would be still flowing in the next couple of months albeit at very low levels At the same time new supply has been studied not only LNG imports but also the potential of the new Baltic gas pipeline which has now been opened in Poland Optimism however is a bad advisor as we can see today Nord Stream 1 and 2 have been hit by leakages and explosions on Tuesday Danish authorities already have warned vessels to steer away from the island of Bornholm as a gas leak has been reported at the Russianowned Nord Stream 2 gas pipeline Nord Stream AG the operator also said that Nord Stream 1 has operational issues including a power drop in both lines On Monday the German regulator had already stated that the pressure in Nord Stream 2 had dropped from 105 to 7 bars Both gas pipelines are currently already empty as Russia has cut off gas supplies before Related Xi Is Set To Be ReElected As Chinas Leader Analysts are worried that the leakages and explosions on both lines are not an incident but linked to the launch of the Baltic Pipe which carries Norwegian gas to Poland It is rather coincidental that both Russian offshore gas pipelines are hit at the same time or even just before the opening of another pipeline The current developments already have led Danish operators and companies to increase their security levels Kristoffer Bottzauw Denmarks energy agency director stated that Denmark wants to ensure thorough oversight of the countrys critical infrastructure to strengthen its security of supply Sweden is not yet increasing its preparedness levels but is following all very closely Without any doubt the growing geopolitical and energy security position of Norway for the European market is being closely followed by Russia Since the start of the Russian invasion of Ukraine Norway has steadily increased its market share and volumes in the European market partly at the cost of Russia Additional Norwegian supplies to Europe are to be expected which is something that Moscow is not going to take lightly Norway has been for decades in the crosshairs of Russia or the Soviet Union as the Scandinavian giant is part of NATO It controls access routes to major Russian naval and commercial ports especially during the winter season After Sweden and Finland are now also joining NATO more military power is now concentrated on the northern border of Russia at least thats how Moscow sees it Norways growing energy influence could clearly become a target of Russian subversive activities if Moscow wants to hit Europe during winter Last week Norway has also reported increased activity of unknown and unidentified drones close to crucial offshore oil and gas infrastructure Norways Petroleum Safety Authority PSA has now openly warned about the presence of unidentified drones near offshore oil and gas facilities The PSA stated that operators have reported the presence of drones during the last couple of months highlighting the potential of deliberate attacks As the PSA said we urge increased vigilance revised emergency preparedness and incident response measures and information sharing Even though no official connection has been made with state actors the current situation could become very volatile in case of further escalation on the Ukrainian front The security of offshore energy production especially in the North Sea is still very weak A potential aggressor could without any doubt take advantage of the situation and deal significant damage to Europes energy market during the coming months Norways offshore oil and gas infrastructure is a highly strategic target for Moscow Putin could and most probably will exploit additional energy infrastructure weaknesses this winter Not only other Russian oil and gas pipelines will be seeing unexpected technical issues or sabotage but third parties could also become a targetA disruption of Norwegian energy supplies to the European Union or the UK could lead to faster depletion of natural gas storage facilities in Europe a potentially add to the already existing chaos in the energy market By Cyril Widdershoven for Oilpricecom More Top Reads From Oilpricecom
Jun 22, 2022;geopolitics;Russian Refinery On Fire After Kamikaze Drone Strike;https://oilprice.com/Geopolitics/Europe/Russian-Refinery-On-Fire-After-Kamikaze-Drone-Strike.html;A fire erupted on Wednesday at an oil refinery in a southern Russian region close to Ukraine after two drones hit the facility Russia says Operations at the Novoshakhtinsk oil refinery in the southern Russian region of Rostov were suspended after an apparent drone attack the regions governor Vasily Golubev said on social media The fire that erupted has been put out and no injuries were reported The refinery has a capacity of 7.5 million tonnes annually The management of the refinery put out a statement to Russian media in which it confirmed that the fire at the facility was the result of a drone attack Two unmanned aerial vehicles attacked the technological facilities of the jointstock company Novoshakhtinsk Oil Products Plant as a result of which an explosion and a fire occurred the refinery said in a statement carried by Russian news agency TASS The crude oil tank at the refinery was damaged by the drone strike The fire erupted after a Ukrainian drone crashed in the refinery a source at the local authorities told TASS Two Ukrainian drones had flown over the refinery a police source also told TASS Earlier this week the Russiainstalled head of Crimea said Ukrainian forces attacked offshore oil and gas drilling platforms in the Black Sea According to aposton Telegram by Sergei Askyonov who was appointed as head of the peninsula that Russia annexed from Ukraine in 2014 Ukrainian forces attacked drilling platforms of the company Chernomorneftegaz in the Black Sea Crimeabased oil and gas exploration company Chernomorneftegaz which operates in the Black Sea and the Sea of Azovwas seizedby Russiabacked officials in Crimea from Ukraines state gas firm Naftogaz after the Russian annexation of Crimea back in 2014 Chernomorneftegaz has been under US and EUsanctionssince 2014 Last week Ukraine said it had sunk a Russian vessel in the Black Sea headed to deliver weapons and troops to Snake Island the strategic Ukrainian territory 80 miles south of the port of Odessa UK military intelligence said the vessel was targeted by antiship missiles the West has recently provided to Ukraine 
Feb 25, 2022;geopolitics;Ukraines President Calls On Putin To Begin Peace Negotiations;https://oilprice.com/Geopolitics/Europe/Ukraines-President-Calls-On-Putin-To-Begin-Peace-Negotiations.html;Volodymyr Zelensky called on Russian President Vladimir Putin to sit down at the negotiating table to stop the death of people the Ukrainian President said in a video message early on Friday Meanwhile Russian troops are reportedly advancing to Kyiv and there have been numerous reports of airstrikes on the Ukrainian capital and other cities overnight Today at 1030 am at the entrances to Chernihiv Hostomel and Melitopol there were heavy fighting People died Zelensky said on Twitter early on Friday Meanwhile Russian Foreign Minister Sergey Lavrov said as carried by ABC News We are ready for negotiations at any moment as soon as the Armed Forces of Ukraine respond to the call of our president to cease resistance and lay down their arms No one intends to attack them Lavrov was speaking during a televised meeting in Moscow with proRussian separatist leaders from eastern Ukraine Russia attacked Ukraine early on Thursday confirming the worstcase scenarios of the US which had been warning for weeks that an invasion was imminent Fears of commodity shortages  from oil and gas to wheat and corn  sent all commodity prices soaring on Thursday while equity markets globally plunged On Friday French President Emmanuel Macron said that his phone conversation with Putin on Thursday was on behalf of Zelensky who could not reach Putin directly It was also to ask him to discuss with President Zelensky who had requested that because he could not reach him Macron said as quoted by The Wall Street Journal The French president who had sought a diplomatic path out of a conflict before the invasion occurred admitted that Putin had been deceptive discussing potential talks while planning to invade Ukraine Yes there was duplicity Yes there was a deliberate conscious choice to launch war when we could still negotiate peace Macron said on Friday after an EU summit in Brussels 
Feb 24, 2022;geopolitics;Putin Pushes For Regime Change As Russian Forces Close In On Kyiv;https://oilprice.com/Geopolitics/Europe/Putin-Pushes-For-Regime-Change-As-Russian-Forces-Close-In-On-Kyiv.html;Putins declared intent at this point is to ensure a proRussian government in Ukraine and the only question now is how long the Ukrainians will fight Speaking on Bloomberg TV Former CIA Director Gen David Petraeus said Putins aim now is to topple the Ukrainian government replace it with a proRussian regime control the capital and control everything east of the Dnieper as well as the southern portion of the country to cut Ukraine off from the Black Sea and connect up with a Russian unit in the eastern part of of Moldova Ukrainian forces are overwhelmed and Russian has complete superiority says Petraeus and everything now depends on whether Ukrainian forces surrender or fight The former CIA director notes that Ukraine is a vast country for Russia to control and Putins ability to sustain this effort for an extended period of time depends on whether or not the Ukrainians can cut off Russian logistics As Russia overreaches Petraeus says the question is how vulnerable will Russias supply lines be and how much will Ukrainian forces continue to fight So far the general says the Ukrainians have managed to knock out a Russian helicopter and some armored vehicles but it is not yet crystal clear how tough the Ukrainian resistance is And there will be no more weapons shipments to Ukraine for the time being with Russia holding air supremacy However there will likely be more reinforcements of front line NATO countries such as the Baltic states and Poland with eastern Poland potentially becoming the front line in a new cold war Sanctions are going to be massive targeting Russian banks Russian oil companies and the oligarchs around Putin Speaking on Bloomberg TV Senator Sherrod Brown said Russia will pay a major price for this Brown noted that Treasury Secretary Janet Yellen is navigating her way through sanctions against Russian banks That depends on cooperation from Americas biggest banks which Brown expects to be forthcoming There will be major collateral economic damage While Europeans will feel a much deeper impact than Americans American consumers will understand says Brown According to Ian Bremmer president and founder of Eurasia Group Putins claim that his goal is demilitarization of Ukraine is a lie Putin has told us for the last two months Hes told Biden hes told Macron hes told Schultz hes told Johnson that he has no intention of invading Ukraine Hes lied in consistent and staggering fashion and so tragically for the Ukrainian people Theyre now saying they have no intention to occupy Ukraine but Russia has already said that they consider that the Ukrainian nation is part of Russia It is very clear that they intend to overthrow this Ukrainian government and they intend to integrate it in some way within a broader Russian structure 
Feb 07, 2022;geopolitics;Can Macron And Putin Cool Tensions Over Ukraine;https://oilprice.com/Geopolitics/Europe/Can-Macron-And-Putin-Cool-Tensions-Over-Ukraine.html;In a bid to avert a war over Ukraine and with energy security high on the agenda French President Emmanuel Macron is in Moscow on Monday where he and Russian President Vladimir Putin have kicked off whats expected to be substantive and quite prolonged talks as the Kremlin previewed it Throughout the past weeks of boiling tensions its largely been Germany and France leading attempts to pursue robust diplomacy quite apart from constant sanctions threats and talk of military options out of Washington Macron said in a weekend interview with Le Journal du Dimanche just before flying to Moscow The geopolitical objective of Russia today is clearly not Ukraine but to clarify the rules of cohabitation with NATO and the EU While during the Putin meeting no major breakthroughs are expected given Macron cant make the kind of serious concessions Putin is looking for on NATO or Europes behalf theres at least hope itll cool tensions and offer a further path of dialogueMacron further said in the interview of the Putin meeting We will discuss the terms to deescalate but also underscored that One has to be realistic ADVERTISEMENT We will not achieve unilateral gestures but it is indispensable to avoid a degradation of the situation before we build mechanisms and gestures of reciprocal trust he added according to a CNBC translation I have always had a deep dialogue with President Putin and it is our responsibility to build historic solutions There is I think an openness from President Putin to achieve thisOn Sunday Bidens national security adviser Jake Sullivan in interviews with the Sunday news shows claimed that Russias military could invade Ukraine any day now We believe that there is a very distinct possibility that Vladimir Putin will order an attack on Ukraine Sullivan said while speaking to ABCs This Week It could take a number of different forms It could happen as soon as tomorrow or it could take some weeks yetBut from NATO HQs perspective this remains unlikely given Brussels appears to agree with the Ukrainian government perspective  that not enough of a troop force is in place yet for any kind of largescale invasionAdmiral Rob Bauer NATOs most senior military officer said that Russia will have assembled enough military forces to potentially stage an operation against Ukraine at the end of February But he added that officials cannot determine Putins intention or plans regarding Kyiv and that NATO doesnt currently envision a direct threat to alliance membersUp until now we dont see an intent we dont expect an attack on NATO soil by Russia  either directly or via Belarus he said Monday at a news conference in VilniusAlso topping the agenda will be gas and energy supply questions at a moment the Biden administration is busy seeking to shore up alternatives in the event of conflict and in the likelihood Russia shuts off supplies to Europe under dire circumstancesThe EU and the Biden administration are set to announce at a joint meeting that theyre preparing to address any risks to European gas supplies Bloomberg reports Monday Josep Borrell the blocs foreign policy chief and Energy Commissioner Kadri Simson will join the EUUS Energy Council meetings where the most urgent discussions will concern ensuring that Europe receives additional volumes of liquefied natural gas in the short term if shipments via pipelines from Russia are derailedBorrell and US Secretary of State Antony Blinken are expected to meet related to the matter on Monday afternoon 
